SEASON_YEAR(축제연도),FEST_NM(축제명),SECTOR_CD(섹터코드),YYYYMMDD(년월일),C_CD(업종코드),GEN_CD(성별코드),AGE_CD(연령대별코드),INFLOW_CD(유입지코드),TIME(시간대),SUM_MONEY(매출_금액합),SUM_COUNT(매출_건수합)
2015,드럼,1,20150723,편의점,F,20대초반이하,11320105,02:점심,33e3,7
2015,드럼,1,20150723,편의점,F,30대초반,11320105,05:늦은저녁,8e3,10
2015,드럼,1,20150723,편의점,M,30대초반,11320105,01:오전,6e4,10
2015,드럼,1,20150723,편의점,M,30대초반,11320105,02:점심,48500,5
2015,드럼,1,20150723,편의점,M,60대이상,11320105,05:늦은저녁,36e3,4
2015,드럼,1,20150723,편의점,F,20대초반이하,11320106,05:늦은저녁,48e3,8
2015,드럼,1,20150723,편의점,M,20대초반이하,11320106,04:저녁,24e3,5
2015,드럼,1,20150723,편의점,M,20대후반,11320106,04:저녁,94e3,3
2015,드럼,1,20150723,편의점,M,30대초반,11320106,01:오전,52e3,3
2015,드럼,1,20150723,편의점,F,20대후반,11320107,02:점심,51e3,6
2015,드럼,1,20150723,편의점,M,20대후반,11320107,02:점심,2e4,7
2015,드럼,1,20150723,편의점,M,30대초반,11320107,02:점심,69500,4
2015,드럼,1,20150723,편의점,F,30대후반,11320107,05:늦은저녁,28e3,2
2015,드럼,1,20150723,편의점,M,30대후반,11320107,05:늦은저녁,94e3,3
2015,드럼,1,20150723,편의점,F,40대초반,11320107,01:오전,73e3,3
2015,드럼,1,20150723,편의점,F,40대초반,11320107,02:점심,99500,6
2015,드럼,1,20150723,편의점,F,20대후반,11320108,01:오전,97500,6
2015,드럼,1,20150723,편의점,M,20대후반,11320108,01:오전,21500,8
2015,드럼,1,20150723,편의점,M,20대후반,11320108,04:저녁,7e4,2
2015,드럼,1,20150723,편의점,F,30대초반,11320108,01:오전,34e3,3
2015,드럼,1,20150723,편의점,F,30대초반,11320108,05:늦은저녁,1e4,4
2015,드럼,1,20150724,편의점,M,30대초반,11320105,02:점심,70500,9
2015,드럼,1,20150724,편의점,F,40대후반,11320105,01:오전,92500,6
2015,드럼,1,20150724,편의점,M,60대이상,11320105,03:오후,84500,4
2015,드럼,1,20150724,편의점,F,20대초반이하,11320106,01:오전,49500,7
2015,드럼,1,20150724,편의점,M,20대초반이하,11320106,04:저녁,80500,5
2015,드럼,1,20150724,편의점,M,20대후반,11320106,01:오전,16e3,6
2015,드럼,1,20150724,편의점,M,40대초반,11320106,03:오후,71e3,9
2015,드럼,1,20150724,편의점,M,20대초반이하,11320107,01:오전,26500,8
2015,드럼,1,20150724,편의점,M,20대초반이하,11320107,05:늦은저녁,46500,1
2015,드럼,1,20150724,편의점,M,20대후반,11320107,03:오후,93e3,9
2015,드럼,1,20150724,편의점,F,30대초반,11320108,03:오후,91e3,9
2015,드럼,1,20150724,편의점,M,30대후반,11320108,02:점심,39500,6
2015,드럼,1,20150724,편의점,M,30대후반,11320108,04:저녁,68e3,8
2015,드럼,1,20150724,편의점,M,50대후반,11320108,01:오전,68e3,1
2015,드럼,1,20150725,편의점,M,20대후반,11320106,04:저녁,69e3,9
2015,드럼,1,20150725,편의점,M,20대후반,11320107,01:오전,82500,4
2015,드럼,1,20150725,편의점,F,30대후반,11320107,01:오전,80500,2
2015,드럼,1,20150725,편의점,M,50대초반,11320107,03:오후,21e3,4
2015,드럼,1,20150726,편의점,M,40대후반,11320105,06:심야,56e3,9
2015,드럼,1,20150726,편의점,M,20대후반,11320106,04:저녁,22e3,1
2015,드럼,1,20150726,편의점,M,20대후반,11320106,05:늦은저녁,12e3,1
2015,드럼,1,20150726,편의점,F,30대초반,11320106,03:오후,65500,5
2015,드럼,1,20150726,편의점,M,40대초반,11320107,03:오후,16500,2
2015,드럼,1,20150726,편의점,M,20대초반이하,11320108,04:저녁,92500,6
2015,드럼,1,20150726,편의점,M,50대초반,11320108,05:늦은저녁,9500,7
2015,드럼,1,20150727,편의점,M,20대후반,11320105,05:늦은저녁,97500,7
2015,드럼,1,20150727,편의점,M,30대초반,11320105,01:오전,15500,10
2015,드럼,1,20150727,편의점,M,30대초반,11320105,02:점심,43500,8
2015,드럼,1,20150727,편의점,M,30대초반,11320105,03:오후,13500,2
2015,드럼,1,20150727,편의점,F,40대후반,11320105,01:오전,45e3,5
2015,드럼,1,20150727,편의점,F,20대초반이하,11320106,01:오전,75e3,7
2015,드럼,1,20150727,편의점,F,20대초반이하,11320106,02:점심,50500,4
2015,드럼,1,20150727,편의점,F,20대초반이하,11320106,04:저녁,14e3,5
2015,드럼,1,20150727,편의점,M,20대초반이하,11320106,03:오후,96e3,2
2015,드럼,1,20150727,편의점,F,20대후반,11320106,04:저녁,14e3,2
2015,드럼,1,20150727,편의점,M,20대후반,11320106,01:오전,58500,8
2015,드럼,1,20150727,편의점,M,30대초반,11320106,01:오전,28e3,1
2015,드럼,1,20150727,편의점,M,40대초반,11320106,03:오후,9500,5
2015,드럼,1,20150727,편의점,M,40대후반,11320106,03:오후,78500,7
2015,드럼,1,20150727,편의점,F,20대초반이하,11320107,01:오전,95500,8
2015,드럼,1,20150727,편의점,F,20대초반이하,11320107,04:저녁,34500,5
2015,드럼,1,20150727,편의점,M,20대초반이하,11320107,02:점심,21e3,6
2015,드럼,1,20150727,편의점,F,20대후반,11320107,02:점심,97e3,10
2015,드럼,1,20150727,편의점,M,30대초반,11320107,01:오전,16e3,5
2015,드럼,1,20150727,편의점,M,30대후반,11320107,03:오후,13500,6
2015,드럼,1,20150727,편의점,M,20대초반이하,11320108,05:늦은저녁,23500,3
2015,드럼,1,20150727,편의점,M,30대초반,11320108,01:오전,78e3,1
2015,드럼,1,20150727,편의점,F,40대후반,11320108,05:늦은저녁,82e3,2
2015,드럼,1,20150727,편의점,M,40대후반,11320108,02:점심,68e3,2
2015,드럼,1,20150727,편의점,M,50대후반,11320108,03:오후,21500,2
2015,드럼,1,20150728,편의점,M,20대초반이하,11320105,02:점심,54500,5
2015,드럼,1,20150728,편의점,F,20대후반,11320105,02:점심,96e3,4
2015,드럼,1,20150728,편의점,F,20대후반,11320105,04:저녁,2e4,4
2015,드럼,1,20150728,편의점,M,30대초반,11320105,03:오후,17500,10
2015,드럼,1,20150728,편의점,M,30대초반,11320105,04:저녁,81e3,10
2015,드럼,1,20150728,편의점,F,20대후반,11320106,04:저녁,7e3,1
2015,드럼,1,20150728,편의점,M,20대후반,11320106,02:점심,68500,7
2015,드럼,1,20150728,편의점,M,20대후반,11320106,03:오후,63500,9
2015,드럼,1,20150728,편의점,M,30대초반,11320106,02:점심,86500,9
2015,드럼,1,20150728,편의점,M,40대후반,11320106,03:오후,9e4,3
2015,드럼,1,20150728,편의점,F,20대초반이하,11320107,01:오전,19500,6
2015,드럼,1,20150728,편의점,F,20대초반이하,11320107,06:심야,48500,10
2015,드럼,1,20150728,편의점,M,30대초반,11320107,02:점심,59500,5
2015,드럼,1,20150728,편의점,M,30대초반,11320107,06:심야,12500,1
2015,드럼,1,20150728,편의점,F,40대초반,11320107,04:저녁,73e3,9
2015,드럼,1,20150728,편의점,M,20대후반,11320108,02:점심,84e3,6
2015,드럼,1,20150728,편의점,M,30대초반,11320108,01:오전,53e3,6
2015,드럼,1,20150728,편의점,M,30대초반,11320108,02:점심,7e3,5
2015,드럼,1,20150728,편의점,F,40대후반,11320108,02:점심,60500,3
2015,드럼,1,20150728,편의점,F,40대후반,11320108,05:늦은저녁,66500,2
2015,드럼,1,20150729,편의점,F,20대후반,11320105,04:저녁,92e3,10
2015,드럼,1,20150729,편의점,M,20대후반,11320105,05:늦은저녁,5e4,4
2015,드럼,1,20150729,편의점,M,30대초반,11320105,01:오전,2e4,7
2015,드럼,1,20150729,편의점,M,40대초반,11320105,03:오후,25500,5
2015,드럼,1,20150729,편의점,F,40대후반,11320105,01:오전,41e3,9
2015,드럼,1,20150729,편의점,F,40대후반,11320105,02:점심,67e3,10
2015,드럼,1,20150729,편의점,F,20대초반이하,11320106,05:늦은저녁,89e3,2
2015,드럼,1,20150729,편의점,M,20대초반이하,11320106,04:저녁,13e3,5
2015,드럼,1,20150729,편의점,M,20대후반,11320106,02:점심,98500,3
2015,드럼,1,20150729,편의점,M,20대후반,11320106,03:오후,88500,6
2015,드럼,1,20150729,편의점,M,30대초반,11320106,03:오후,96500,2
2015,드럼,1,20150729,편의점,M,30대초반,11320106,04:저녁,49500,7
2015,드럼,1,20150729,편의점,F,20대초반이하,11320107,01:오전,16500,5
2015,드럼,1,20150729,편의점,F,20대초반이하,11320107,03:오후,44e3,4
2015,드럼,1,20150729,편의점,F,20대후반,11320107,02:점심,23500,6
2015,드럼,1,20150729,편의점,F,30대초반,11320107,04:저녁,5e4,2
2015,드럼,1,20150729,편의점,M,30대후반,11320107,03:오후,12500,6
2015,드럼,1,20150729,편의점,F,20대후반,11320108,02:점심,22500,7
2015,드럼,1,20150729,편의점,M,20대후반,11320108,01:오전,31500,4
2015,드럼,1,20150729,편의점,F,30대초반,11320108,04:저녁,55500,8
2015,드럼,1,20150729,편의점,M,30대초반,11320108,01:오전,51e3,1
2015,드럼,1,20150729,편의점,M,30대초반,11320108,03:오후,74e3,6
2015,드럼,1,20150729,편의점,M,50대후반,11320108,01:오전,47500,6
2015,드럼,1,20150730,편의점,F,20대초반이하,11320105,02:점심,2e4,5
2015,드럼,1,20150730,편의점,M,20대초반이하,11320105,05:늦은저녁,58e3,7
2015,드럼,1,20150730,편의점,M,20대후반,11320105,06:심야,65500,7
2015,드럼,1,20150730,편의점,F,30대초반,11320105,03:오후,68500,2
2015,드럼,1,20150730,편의점,M,30대초반,11320105,03:오후,13500,3
2015,드럼,1,20150730,편의점,M,30대초반,11320105,04:저녁,60500,7
2015,드럼,1,20150730,편의점,F,20대초반이하,11320106,02:점심,42500,5
2015,드럼,1,20150730,편의점,F,20대초반이하,11320106,04:저녁,69500,8
2015,드럼,1,20150730,편의점,M,20대후반,11320106,01:오전,15500,2
2015,드럼,1,20150730,편의점,M,20대후반,11320106,02:점심,92500,9
2015,드럼,1,20150730,편의점,M,20대후반,11320106,03:오후,71500,2
2015,드럼,1,20150730,편의점,M,20대후반,11320106,04:저녁,13e3,4
2015,드럼,1,20150730,편의점,M,30대초반,11320106,01:오전,39500,6
2015,드럼,1,20150730,편의점,M,30대초반,11320106,05:늦은저녁,51500,3
2015,드럼,1,20150730,편의점,F,30대초반,11320107,01:오전,34500,5
2015,드럼,1,20150730,편의점,F,30대초반,11320107,04:저녁,61500,2
2015,드럼,1,20150730,편의점,M,30대초반,11320107,02:점심,88500,1
2015,드럼,1,20150730,편의점,M,30대후반,11320107,01:오전,99500,9
2015,드럼,1,20150730,편의점,M,30대후반,11320107,03:오후,82e3,4
2015,드럼,1,20150730,편의점,F,20대초반이하,11320108,01:오전,2e4,4
2015,드럼,1,20150730,편의점,F,20대후반,11320108,02:점심,34e3,8
2015,드럼,1,20150730,편의점,M,20대후반,11320108,01:오전,9500,10
2015,드럼,1,20150730,편의점,M,30대초반,11320108,02:점심,67500,2
2015,드럼,1,20150730,편의점,M,30대후반,11320108,04:저녁,61e3,10
2015,드럼,1,20150730,편의점,M,40대후반,11320108,04:저녁,25e3,8
2015,드럼,1,20150730,편의점,F,60대이상,11320108,01:오전,22500,2
2015,드럼,1,20150731,편의점,M,20대초반이하,11320105,05:늦은저녁,5500,3
2015,드럼,1,20150731,편의점,M,30대초반,11320105,01:오전,66e3,8
2015,드럼,1,20150731,편의점,M,30대후반,11320105,02:점심,26e3,6
2015,드럼,1,20150731,편의점,F,20대초반이하,11320106,04:저녁,59500,9
2015,드럼,1,20150731,편의점,M,20대초반이하,11320106,03:오후,66e3,6
2015,드럼,1,20150731,편의점,M,20대후반,11320106,03:오후,63e3,8
2015,드럼,1,20150731,편의점,M,40대후반,11320106,03:오후,56e3,6
2015,드럼,1,20150731,편의점,F,20대초반이하,11320107,01:오전,33500,7
2015,드럼,1,20150731,편의점,F,20대초반이하,11320107,02:점심,98500,6
2015,드럼,1,20150731,편의점,M,20대초반이하,11320107,02:점심,47e3,2
2015,드럼,1,20150731,편의점,M,30대초반,11320107,02:점심,43500,5
2015,드럼,1,20150731,편의점,M,30대초반,11320107,04:저녁,61500,6
2015,드럼,1,20150731,편의점,M,30대후반,11320107,04:저녁,21e3,1
2015,드럼,1,20150731,편의점,M,40대초반,11320107,04:저녁,28500,7
2015,드럼,1,20150731,편의점,M,40대후반,11320107,02:점심,75e3,8
2015,드럼,1,20150731,편의점,M,60대이상,11320107,03:오후,63e3,4
2015,드럼,1,20150731,편의점,F,20대초반이하,11320108,01:오전,46500,10
2015,드럼,1,20150731,편의점,F,20대후반,11320108,01:오전,6e3,7
2015,드럼,1,20150731,편의점,F,20대후반,11320108,05:늦은저녁,28500,4
2015,드럼,1,20150731,편의점,F,30대초반,11320108,05:늦은저녁,26500,7
2015,드럼,1,20150731,편의점,F,50대초반,11320108,01:오전,87500,1
2015,드럼,1,20150801,편의점,F,30대초반,11320105,05:늦은저녁,60500,2
2015,드럼,1,20150801,편의점,F,40대후반,11320105,03:오후,65e3,3
2015,드럼,1,20150801,편의점,F,20대초반이하,11320106,01:오전,68e3,8
2015,드럼,1,20150801,편의점,M,30대초반,11320106,02:점심,11e3,4
2015,드럼,1,20150801,편의점,M,20대초반이하,11320107,01:오전,34500,6
2015,드럼,1,20150801,편의점,F,30대초반,11320107,06:심야,22e3,6
2015,드럼,1,20150801,편의점,M,40대후반,11320107,01:오전,87500,3
2015,드럼,1,20150801,편의점,F,50대초반,11320108,04:저녁,76500,8
2015,드럼,1,20150801,편의점,F,60대이상,11320108,01:오전,65500,1
2015,드럼,1,20150802,편의점,M,30대초반,11320105,02:점심,26e3,7
2015,드럼,1,20150802,편의점,F,20대초반이하,11320106,04:저녁,82e3,8
2015,드럼,1,20150802,편의점,F,20대초반이하,11320107,03:오후,67500,7
2015,드럼,1,20150802,편의점,M,50대후반,11320108,06:심야,54e3,6
2015,드럼,1,20150803,편의점,F,20대후반,11320105,02:점심,96500,7
2015,드럼,1,20150803,편의점,M,30대초반,11320105,02:점심,27e3,4
2015,드럼,1,20150803,편의점,M,30대후반,11320105,01:오전,98e3,5
2015,드럼,1,20150803,편의점,F,20대초반이하,11320106,02:점심,93e3,3
2015,드럼,1,20150803,편의점,M,20대초반이하,11320106,02:점심,23e3,3
2015,드럼,1,20150803,편의점,M,20대초반이하,11320106,03:오후,59500,9
2015,드럼,1,20150803,편의점,M,20대초반이하,11320106,04:저녁,36e3,10
2015,드럼,1,20150803,편의점,M,20대후반,11320106,01:오전,70500,5
2015,드럼,1,20150803,편의점,M,20대후반,11320106,02:점심,15500,5
2015,드럼,1,20150803,편의점,M,20대후반,11320106,03:오후,80500,1
2015,드럼,1,20150803,편의점,M,20대후반,11320106,04:저녁,49e3,9
2015,드럼,1,20150803,편의점,M,20대후반,11320106,05:늦은저녁,4e4,5
2015,드럼,1,20150803,편의점,M,30대초반,11320106,01:오전,72e3,2
2015,드럼,1,20150803,편의점,F,20대초반이하,11320107,01:오전,80500,10
2015,드럼,1,20150803,편의점,M,20대초반이하,11320107,01:오전,23500,6
2015,드럼,1,20150803,편의점,M,50대초반,11320107,03:오후,18500,9
2015,드럼,1,20150803,편의점,M,60대이상,11320107,04:저녁,82e3,6
2015,드럼,1,20150803,편의점,M,60대이상,11320107,05:늦은저녁,30500,3
2015,드럼,1,20150803,편의점,F,20대초반이하,11320108,01:오전,83e3,6
2015,드럼,1,20150803,편의점,F,20대후반,11320108,01:오전,9e3,9
2015,드럼,1,20150803,편의점,M,30대초반,11320108,03:오후,6e3,10
2015,드럼,1,20150804,편의점,F,20대초반이하,11320105,02:점심,79500,5
2015,드럼,1,20150804,편의점,F,20대후반,11320105,03:오후,9e4,5
2015,드럼,1,20150804,편의점,M,30대초반,11320105,01:오전,35e3,2
2015,드럼,1,20150804,편의점,M,30대초반,11320105,02:점심,35500,10
2015,드럼,1,20150804,편의점,M,30대초반,11320105,04:저녁,28500,4
2015,드럼,1,20150804,편의점,F,40대초반,11320105,03:오후,80500,8
2015,드럼,1,20150804,편의점,M,20대초반이하,11320106,03:오후,85500,2
2015,드럼,1,20150804,편의점,M,20대후반,11320106,01:오전,84e3,1
2015,드럼,1,20150804,편의점,M,20대후반,11320106,03:오후,20500,9
2015,드럼,1,20150804,편의점,M,20대후반,11320106,04:저녁,39500,8
2015,드럼,1,20150804,편의점,M,20대후반,11320106,05:늦은저녁,47e3,7
2015,드럼,1,20150804,편의점,F,30대초반,11320106,01:오전,15500,1
2015,드럼,1,20150804,편의점,M,50대초반,11320106,03:오후,37e3,5
2015,드럼,1,20150804,편의점,F,20대초반이하,11320107,01:오전,17500,2
2015,드럼,1,20150804,편의점,F,20대초반이하,11320107,02:점심,47500,7
2015,드럼,1,20150804,편의점,M,20대초반이하,11320107,01:오전,56e3,5
2015,드럼,1,20150804,편의점,F,20대후반,11320107,03:오후,58500,1
2015,드럼,1,20150804,편의점,F,20대후반,11320107,04:저녁,25e3,10
2015,드럼,1,20150804,편의점,F,20대후반,11320107,05:늦은저녁,55e3,7
2015,드럼,1,20150804,편의점,M,20대후반,11320107,02:점심,7e4,3
2015,드럼,1,20150804,편의점,M,30대후반,11320107,04:저녁,71500,6
2015,드럼,1,20150804,편의점,F,20대초반이하,11320108,01:오전,71e3,5
2015,드럼,1,20150804,편의점,M,30대후반,11320108,02:점심,46e3,1
2015,드럼,1,20150805,편의점,M,20대초반이하,11320105,01:오전,48500,7
2015,드럼,1,20150805,편의점,F,30대초반,11320105,02:점심,13e3,10
2015,드럼,1,20150805,편의점,M,30대초반,11320105,01:오전,82e3,6
2015,드럼,1,20150805,편의점,M,30대초반,11320105,03:오후,1e4,9
2015,드럼,1,20150805,편의점,M,30대후반,11320105,01:오전,73e3,9
2015,드럼,1,20150805,편의점,M,40대후반,11320105,05:늦은저녁,16500,8
2015,드럼,1,20150805,편의점,F,20대초반이하,11320106,02:점심,4e4,6
2015,드럼,1,20150805,편의점,M,20대초반이하,11320106,03:오후,55500,6
2015,드럼,1,20150805,편의점,M,20대후반,11320106,01:오전,61500,8
2015,드럼,1,20150805,편의점,F,30대초반,11320106,01:오전,34e3,8
2015,드럼,1,20150805,편의점,F,20대초반이하,11320107,01:오전,11500,4
2015,드럼,1,20150805,편의점,M,20대초반이하,11320107,01:오전,46e3,6
2015,드럼,1,20150805,편의점,M,20대초반이하,11320107,04:저녁,65500,7
2015,드럼,1,20150805,편의점,F,20대후반,11320107,01:오전,79e3,8
2015,드럼,1,20150805,편의점,F,20대후반,11320107,02:점심,66e3,7
2015,드럼,1,20150805,편의점,M,20대후반,11320107,04:저녁,69500,7
2015,드럼,1,20150805,편의점,F,30대초반,11320107,02:점심,78500,8
2015,드럼,1,20150805,편의점,F,30대후반,11320107,01:오전,41e3,7
2015,드럼,1,20150805,편의점,F,30대후반,11320107,02:점심,9e3,9
2015,드럼,1,20150805,편의점,F,20대초반이하,11320108,01:오전,24500,2
2015,드럼,1,20150805,편의점,M,20대후반,11320108,02:점심,38500,4
2015,드럼,1,20150805,편의점,M,20대후반,11320108,04:저녁,19e3,10
2015,드럼,1,20150805,편의점,F,30대초반,11320108,05:늦은저녁,58500,5
2015,드럼,1,20150806,편의점,M,20대후반,11320105,06:심야,34e3,8
2015,드럼,1,20150806,편의점,M,30대초반,11320105,04:저녁,29e3,10
2015,드럼,1,20150806,편의점,M,40대초반,11320105,03:오후,96e3,9
2015,드럼,1,20150806,편의점,M,40대후반,11320105,04:저녁,62500,3
